M_star,M_star_up_err,M_star_low_err,M_pl,M_pl_up_err,M_pl_low_err,TIC,pl_bmassj_bibkey,st_mass_bibkey,multiple_star,ID,P_rot,P_rot_err,P_orb,P_orb_err,a,a_err,R_star,R_star_up_err,R_star_low_err,Teff,grav_pert,grav_pert_low_err,grav_pert_up_err,tidal_disip_timescale,tidal_disip_timescale_up_err,tidal_disip_timescale_low_err,torque_conv,torque_conv_up_err,torque_conv_low_err,number_of_flares,mean,std
0.26,0.01,0.01,0.0770899999999999,0.01793,0.01636,434226736,stefansson2020habitable,stefansson2020habitable,,K2-25,1.878,0.005,3.48456408,5.5e-07,0.0287,0.0122835999999999,0.29,0.01,0.01,4000.0,6.786086741450565e-08,5.258008870811937e-08,5.028485858264032e-07,566120.2848019417,3039808.297883218,538006.7334569268,-8.616811509279844e-18,-4.341964972509687e-16,-8.08765031685002e-18,3,0.83805,0.07226292271974613
0.5,0.03,0.03,0.0633,0.00494,0.00541,441420236,cale2021diving,cale2021diving,,AU Mic,4.857,0.004,8.463,2e-06,0.0645,0.0119969999999999,0.75,0.03,0.03,4000.0,4.515504001040302e-08,2.4923772893930143e-08,6.624068093591473e-08,1337143.492151435,2277319.99416388,924156.417228617,-5.2172608703103024e-18,-2.0141815759095685e-17,-3.9387916910436136e-18,68,0.43879999999999997,0.15098459082524504
0.43,0.01,0.01,0.0109249359879657,0.0074243471128073,0.0038576814587508,468989066,chen2017probabilistic,deleon202137,,K2-354,10.39,0.81,3.793306,0.0003335,0.036322495935,0.00908062398375,0.41,0.01,0.01,4000.0,8.248328619062211e-09,5.8420346681667406e-09,2.9761337859908082e-08,39673890.53391972,19682752.40104208,24384698.089530125,2.379091035100744e-19,4.015831952261283e-18,2.148418802445155e-19,3,0.3372,0.02334837610341813
0.13,0.05,0.05,0.0014280418530164,0.0050534435322723,0.0011134066401383,63126862,muirhead2012characterizing,muirhead2012characterizing,,Kepler-42,68.23,1.78,0.45328509,9.7e-07,0.006,0.0006,0.17,0.04,0.04,4000.0,7.3301673589134e-08,6.915494761280015e-08,1.2331550848296038e-06,848542.3563114991,4163697.7601969056,710348.384163172,2.4520540766922783e-18,2.709451533576257e-16,2.4344837892247853e-18,27,0.10335,0.007710382610480491
0.198312329941303,0.0040346016853864,0.0040346016853864,0.00636,0.00082,0.00079,43605290,astudillo-defru2017harps,mann2015how,,GJ 3323,33.0,3.3000000000000003,5.3636,0.0007,0.03282,0.0075486,0.12,0.03,0.03,4000.0,3.1689633537451716e-10,2.5517954238374366e-10,1.2433165790094794e-09,21556780800.73303,294277259240.8364,19958085008.622185,3.1819671944935016e-22,5.6197468912404335e-21,3.0147166635185988e-22,10,0.40625,0.08968260700938616
0.4870322248071286,0.009567270766802,0.009567270766802,0.0258,0.00535,0.00535,206548902,feng2020searcha,mann2015how,,GJ 3082,6.55,0.655,11.949,0.022,0.079,0.0173799999999999,0.47,0.01,0.01,4000.0,2.3300614253825352e-09,1.40777031308648e-09,4.253302774144089e-09,425702403.4693106,627219495.2890934,285884308.03853685,-2.481238536674672e-20,-1.5362854905257363e-19,-2.0566613889987668e-20,5,0.3885,0.05948949487094337
0.375572613762829,0.0072713296929547,0.0072713296929547,0.035,0.0009436739999999,0.0009436739999999,218263393,bonfils2007harps,mann2015how,,GJ 674,33.29,3.329,4.6938,0.007,0.039,0.0078,0.36,0.01,0.01,4000.0,1.6054280580598283e-08,8.059886219669185e-09,2.064902686947637e-08,9860049.629325485,21929406.94433903,7453360.968744617,8.316775496953374e-19,3.00557176733947e-18,6.0261466796723625e-19,9,0.3091,0.12918787352792313
0.4,0.02,0.02,0.05412,0.00315,0.00315,233193964,feng2020search,feng2020search,,GJ 687,61.73,6.173,38.142,0.007,0.163,0.02771,0.42,0.01,0.01,4000.0,4.6081542671974676e-10,2.2183200518396387e-10,5.087612737622372e-10,9887557217.865192,13733819314.301435,6398504915.997498,8.063464934195191e-22,2.300270858735285e-21,5.591780320333567e-22,9,0.22585,0.13599091881445613
0.12,0.01,0.01,0.004,0.0006,0.00053,388857263,anglada-escude2016terrestrial,anglada-escude2016terrestrial,,Proxima Cen,83.0,8.3,11.186,0.0015,0.0485,0.016975,0.14,0.02,0.02,4000.0,1.6031852514392536e-10,1.2766484852527694e-10,9.472426625564023e-10,82409911140.06334,716853610289.6462,78059872151.81674,2.612258580022405e-23,8.66959627568735e-22,2.4620071645305678e-23,130,0.37734999999999996,0.26546750585837553
1.04,0.1,0.1,1.66,0.31,0.31,435907158,yu2017hot,yu2017hot,,TAP 26,0.7135,0.07135,10.79,0.14,0.0968,0.0154879999999999,1.17,0.17,0.17,4000.0,6.437492032203398e-07,4.531345383412166e-07,1.5053575586818933e-06,6668.715573264195,17506.928490679486,4782.914169921234,-2.899185979508117e-15,-2.0004813160902575e-14,-2.540222560904469e-15,15,0.9316,0.04309988399056311
0.14,0.01,0.01,0.0022,0.00028,0.00025,439403362,stock2020carmenes,stock2020carmenes,,YZ Cet,68.28,0.28,2.02087,7.999999999999999e-05,0.01634,0.0009804,0.16,0.01,0.01,4000.0,3.2580583965775114e-09,1.392750980404999e-09,2.451604845771033e-09,243364846.64262223,101650181.34812608,72853250.12384617,1.0535206405685417e-20,1.574196540986575e-20,6.309609165546598e-21,47,0.3873,0.0676322408323131
